,V0226,V0227,V02270,V02271,V02272,V02273,V02274,V2027
62149,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
62152,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62153,2.0,,0.0,2.0,3.0,3.0,3.0,1.0
62158,2.0,,0.0,1.0,1.0,1.0,3.0,1.0
62160,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62161,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
62162,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62163,2.0,,2.0,1.0,3.0,1.0,3.0,1.0
62164,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62166,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62173,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62179,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
62180,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62181,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
62182,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62184,2.0,,3.0,0.0,1.0,1.0,3.0,1.0
62185,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62186,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62187,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
62188,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62189,2.0,,3.0,0.0,1.0,1.0,3.0,1.0
62190,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
62191,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62192,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
62193,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62196,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
62198,2.0,,2.0,0.0,3.0,1.0,3.0,3.0
62200,2.0,,2.0,1.0,3.0,1.0,3.0,3.0
62202,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62204,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62205,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62206,2.0,,1.0,1.0,3.0,1.0,3.0,3.0
62209,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
62210,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62211,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62213,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62214,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62215,2.0,,3.0,0.0,3.0,1.0,3.0,1.0
62216,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
62217,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
62218,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
62222,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62226,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62227,2.0,,1.0,1.0,3.0,1.0,3.0,3.0
62228,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62230,2.0,,2.0,1.0,3.0,1.0,3.0,1.0
62231,2.0,,3.0,0.0,1.0,1.0,3.0,3.0
62232,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
62233,2.0,,0.0,1.0,3.0,1.0,3.0,1.0
62234,2.0,,2.0,0.0,3.0,1.0,3.0,3.0
62236,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
62237,2.0,,2.0,0.0,3.0,3.0,3.0,1.0
62239,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62243,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
62246,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62249,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62251,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
62252,2.0,,0.0,2.0,1.0,1.0,3.0,1.0
62254,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62255,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
62256,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
62257,2.0,,1.0,2.0,1.0,1.0,3.0,1.0
62261,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62264,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
62265,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62266,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62269,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
62272,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62275,2.0,,4.0,1.0,1.0,1.0,1.0,1.0
62279,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62281,2.0,,0.0,1.0,1.0,3.0,3.0,1.0
62282,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62283,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62284,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
62285,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62287,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
62288,2.0,,1.0,2.0,1.0,1.0,3.0,1.0
62291,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
62292,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62293,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62300,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62304,2.0,,1.0,1.0,3.0,1.0,3.0,3.0
62307,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62310,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
62313,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62315,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62321,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62325,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62329,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62333,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
62336,2.0,,0.0,2.0,1.0,3.0,3.0,1.0
62341,2.0,,0.0,1.0,3.0,1.0,3.0,1.0
62347,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62348,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62349,2.0,,1.0,1.0,3.0,1.0,1.0,3.0
62354,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62358,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62363,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
62364,2.0,,2.0,1.0,1.0,1.0,3.0,3.0
62365,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
62366,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62369,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62370,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62372,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
62375,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
62378,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
62381,2.0,,1.0,0.0,1.0,1.0,1.0,3.0
62382,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62384,2.0,,6.0,0.0,1.0,1.0,1.0,1.0
62393,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
62395,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62396,2.0,,1.0,0.0,1.0,1.0,1.0,3.0
62397,2.0,,2.0,0.0,3.0,1.0,1.0,1.0
62399,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62403,2.0,,2.0,0.0,1.0,1.0,3.0,3.0
62404,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62409,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
62413,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62414,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62415,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62416,2.0,,3.0,0.0,1.0,1.0,3.0,1.0
62417,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
62418,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62419,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
62420,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62421,2.0,,1.0,0.0,3.0,3.0,3.0,3.0
62423,2.0,,3.0,0.0,3.0,1.0,3.0,1.0
62424,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62425,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
62426,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62427,2.0,,6.0,0.0,1.0,1.0,3.0,1.0
62430,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62432,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
62433,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
62434,2.0,,1.0,1.0,3.0,1.0,3.0,3.0
62435,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62436,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62437,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62438,2.0,,1.0,1.0,3.0,1.0,3.0,3.0
62440,2.0,,2.0,1.0,3.0,1.0,3.0,1.0
62441,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62443,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62444,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62446,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62450,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62455,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62457,2.0,,3.0,0.0,1.0,1.0,3.0,1.0
62460,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
62465,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62466,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62467,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62469,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
62472,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62475,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62479,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
62480,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
62481,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
62485,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
62486,2.0,,0.0,2.0,3.0,1.0,3.0,1.0
62487,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62489,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
62498,2.0,,0.0,2.0,1.0,3.0,3.0,1.0
62500,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
62502,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
62504,2.0,,1.0,2.0,1.0,1.0,3.0,1.0
62506,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
62510,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
62511,2.0,,0.0,1.0,1.0,3.0,3.0,1.0
62515,2.0,,2.0,0.0,3.0,1.0,1.0,1.0
62517,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
62519,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62521,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62524,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62527,2.0,,1.0,1.0,1.0,3.0,3.0,1.0
62528,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
62529,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62531,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62533,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
62544,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62545,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
62546,2.0,,3.0,0.0,3.0,1.0,3.0,1.0
62547,2.0,,3.0,0.0,1.0,1.0,3.0,1.0
62548,2.0,,3.0,0.0,1.0,1.0,3.0,3.0
62550,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62551,2.0,,3.0,0.0,1.0,1.0,3.0,1.0
62552,2.0,,4.0,0.0,1.0,1.0,3.0,1.0
62553,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62554,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62555,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62556,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62558,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62559,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
62560,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
62561,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
62562,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62564,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
62565,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62566,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62568,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62569,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62570,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62571,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62572,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62574,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62575,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62585,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
62589,2.0,,0.0,1.0,1.0,3.0,1.0,1.0
62591,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
62594,2.0,,1.0,2.0,3.0,1.0,3.0,1.0
62595,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62597,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
62598,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62600,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62601,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62604,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62606,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62608,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62611,2.0,,1.0,2.0,3.0,1.0,3.0,1.0
62612,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62613,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62615,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62617,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62623,2.0,,1.0,2.0,1.0,3.0,3.0,1.0
62624,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62625,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
62626,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
62627,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62629,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62630,4.0,3.0,,,,,,3.0
62634,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62636,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
62638,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62639,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
62640,2.0,,3.0,1.0,1.0,1.0,3.0,1.0
62642,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
62643,2.0,,2.0,2.0,1.0,1.0,3.0,1.0
62644,2.0,,1.0,1.0,3.0,3.0,3.0,3.0
62645,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62646,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62652,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
62654,2.0,,0.0,2.0,3.0,3.0,3.0,1.0
62669,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62671,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62681,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62688,2.0,,0.0,1.0,3.0,1.0,3.0,1.0
62700,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62701,2.0,,1.0,1.0,1.0,3.0,3.0,1.0
62702,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62706,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62711,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62713,2.0,,1.0,0.0,3.0,1.0,1.0,3.0
62714,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62715,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62716,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62718,2.0,,0.0,1.0,3.0,5.0,1.0,1.0
62719,2.0,,0.0,1.0,3.0,1.0,3.0,1.0
62722,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62724,2.0,,0.0,1.0,3.0,1.0,3.0,1.0
62725,2.0,,0.0,1.0,1.0,3.0,3.0,1.0
62729,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62731,2.0,,1.0,1.0,1.0,1.0,1.0,1.0
62733,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62736,2.0,,2.0,0.0,1.0,3.0,1.0,1.0
62737,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62739,2.0,,2.0,0.0,1.0,1.0,3.0,3.0
62740,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62741,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62742,2.0,,1.0,0.0,3.0,3.0,3.0,3.0
62747,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62748,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62754,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62759,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62760,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62761,2.0,,1.0,1.0,3.0,3.0,3.0,1.0
62764,2.0,,0.0,1.0,1.0,3.0,3.0,3.0
62771,2.0,,0.0,1.0,3.0,1.0,3.0,3.0
62774,2.0,,0.0,2.0,1.0,1.0,3.0,3.0
62775,2.0,,0.0,3.0,3.0,1.0,3.0,1.0
62777,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
62778,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62780,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62787,2.0,,3.0,0.0,1.0,1.0,3.0,1.0
62789,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
62803,2.0,,1.0,0.0,3.0,3.0,3.0,3.0
62813,2.0,,2.0,0.0,1.0,1.0,3.0,3.0
62814,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
62815,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62816,2.0,,2.0,0.0,1.0,1.0,1.0,1.0
62818,2.0,,1.0,1.0,3.0,1.0,1.0,1.0
62820,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
62821,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
62822,2.0,,2.0,0.0,3.0,1.0,1.0,1.0
62823,2.0,,1.0,0.0,1.0,1.0,1.0,3.0
62824,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
62826,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
62827,2.0,,0.0,1.0,1.0,1.0,1.0,3.0
62829,2.0,,0.0,2.0,1.0,3.0,3.0,1.0
62830,2.0,,0.0,2.0,3.0,3.0,1.0,1.0
62840,2.0,,2.0,1.0,1.0,1.0,3.0,3.0
62841,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
62842,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
62843,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62844,2.0,,1.0,0.0,3.0,3.0,3.0,3.0
62849,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
62852,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
62855,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
62856,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
62859,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62860,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62861,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
62863,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
62866,2.0,,0.0,2.0,3.0,3.0,3.0,1.0
62867,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
62868,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62869,2.0,,1.0,1.0,3.0,3.0,3.0,1.0
62870,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
62871,2.0,,3.0,0.0,1.0,1.0,3.0,1.0
62872,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62873,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
62876,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
62879,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
62884,2.0,,3.0,1.0,3.0,1.0,3.0,1.0
62885,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
62889,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62894,2.0,,3.0,0.0,1.0,1.0,3.0,1.0
62896,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62901,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
62902,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
62907,2.0,,2.0,1.0,1.0,3.0,1.0,1.0
62914,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
62917,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
62918,2.0,,1.0,0.0,1.0,5.0,3.0,3.0
62920,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62929,2.0,,1.0,0.0,1.0,3.0,3.0,3.0
62930,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62931,2.0,,1.0,0.0,3.0,5.0,3.0,1.0
62933,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62934,2.0,,1.0,2.0,3.0,1.0,3.0,3.0
62935,2.0,,0.0,1.0,1.0,1.0,3.0,3.0
62938,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
62939,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62945,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
62947,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
62950,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
62958,2.0,,2.0,0.0,1.0,3.0,3.0,1.0
62961,2.0,,2.0,0.0,3.0,1.0,1.0,1.0
62965,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
62970,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
62974,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
62976,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62980,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
62983,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
62986,2.0,,2.0,1.0,3.0,1.0,3.0,1.0
62987,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62988,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62990,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
62991,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62992,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
62994,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
62996,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
62997,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
62999,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
63001,2.0,,1.0,1.0,1.0,1.0,1.0,3.0
63002,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
63003,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
63005,2.0,,2.0,0.0,1.0,3.0,3.0,1.0
63008,2.0,,1.0,0.0,3.0,5.0,3.0,1.0
63010,2.0,,1.0,1.0,3.0,3.0,3.0,1.0
63012,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
63013,2.0,,1.0,0.0,1.0,3.0,3.0,3.0
63014,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
63015,2.0,,0.0,2.0,1.0,3.0,3.0,1.0
63016,2.0,,1.0,0.0,1.0,3.0,3.0,3.0
63019,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
63025,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
63028,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
63031,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
63034,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
63035,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
63037,2.0,,2.0,0.0,1.0,1.0,3.0,3.0
63039,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
63040,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
63041,2.0,,3.0,0.0,1.0,1.0,3.0,1.0
63045,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
63050,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
63056,2.0,,2.0,0.0,1.0,1.0,3.0,3.0
63058,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
63060,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
63062,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
63063,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
63064,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
63068,4.0,3.0,,,,,,3.0
63069,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
63070,2.0,,4.0,1.0,1.0,1.0,1.0,1.0
63071,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
63072,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
63073,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
63075,2.0,,1.0,0.0,3.0,3.0,3.0,3.0
63076,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
63078,2.0,,3.0,1.0,1.0,1.0,3.0,1.0
63080,2.0,,4.0,1.0,1.0,1.0,3.0,1.0
63082,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
63088,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
63089,2.0,,2.0,0.0,1.0,1.0,3.0,3.0
63091,2.0,,2.0,1.0,1.0,1.0,3.0,1.0
63098,2.0,,4.0,0.0,1.0,1.0,3.0,1.0
63100,2.0,,1.0,3.0,1.0,1.0,3.0,1.0
63101,2.0,,3.0,1.0,3.0,1.0,3.0,3.0
63102,2.0,,2.0,0.0,1.0,1.0,3.0,3.0
63103,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
63105,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
63108,2.0,,3.0,0.0,1.0,1.0,3.0,1.0
63111,2.0,,2.0,0.0,3.0,1.0,3.0,3.0
63116,2.0,,3.0,3.0,1.0,1.0,3.0,1.0
63117,2.0,,2.0,1.0,1.0,1.0,3.0,3.0
63118,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
63119,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
63125,2.0,,3.0,1.0,1.0,1.0,3.0,1.0
63126,2.0,,3.0,1.0,3.0,1.0,3.0,1.0
63129,2.0,,4.0,0.0,1.0,1.0,3.0,1.0
63133,2.0,,3.0,1.0,1.0,3.0,3.0,1.0
63142,2.0,,1.0,2.0,1.0,3.0,3.0,1.0
63145,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
63148,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
63149,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
63154,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
63158,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
63160,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
63162,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
63163,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
63164,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
63166,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
63169,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
63170,2.0,,3.0,0.0,3.0,1.0,3.0,1.0
63171,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
63173,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
63176,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
